"iso3c","SPI.INDEX","SCI","SCI_rank","ODIN_score","ODIN_rank","odb","gdb","iiag_overall","iiag_stats","country","region","income","SI.POV.DDAY","SI.POV.GINI","GE.EST","NY.GDP.PCAP.KD","HD.HCI.OVRL","SN.ITK.DEFC.ZS","SH.STA.MMRT","SE.LPV.PRIM","SG.LAW.INDX","SH.H2O.SMDW.ZS","EG.ELC.ACCS.ZS","NV.IND.MANF.ZS","EN.POP.SLUM.UR.ZS","subsidies","EN.GHG.ALL.MT.CE.AR5","ER.MRN.PTMR.ZS","ER.LND.PTLD.ZS","DT.TDS.DECT.EX.ZS","sdg_index_score","hdi_value","env_perform_index","eci_value","press_free_score","better_life_index","undernourish","severe_food_insecurity","legatum_health_index","ghsindex"
"POL",94.4,80.55556666666666,27,85.5,3,33,NA,NA,NA,"Poland","Europe & Central Asia","High income",0.1,28.5,0.3401598781347275,17347.3945456701,0.753088593482971,2.5,2,5.55067777633667,93.75,88.9144993074404,100,17.20558962194875,NA,0.28857,400.2439,22.5724697,39.5688171,NA,81.80017555777559,0.876,64.2,0.9921377897262573,66.65,6.56633930228965,2.5,1,48,55.7
"FIN",94,NA,NA,85.3,3,47,55,NA,NA,"Finland","Europe & Central Asia","High income",0,27.7,1.746594488620755,45972.36935108785,0.796001017093658,2.5,8,4.78112697601318,97.5,99.6420270617799,100,15.331821393848049,NA,0.57659,54.805,11.9924765,13.3991909,NA,86.76059477875066,0.939,73.8,1.5039457480112712,88.18,8.190826399726488,2.5,2.6,15,70.9
"DNK",93.8,NA,NA,85.55000000000001,3,56,58,NA,NA,"Denmark","Europe & Central Asia","High income",0.2,28.3,2.002891957759855,60772.32654629145,0.755094826221466,2.5,5,5.13658905029296,100,99.9188291924832,100,14.39687347155025,NA,0.39504,45.7952,18.3222065,16.9702816,NA,85.68363680926916,0.9475,67.7,1.0141232411066692,89.875,8.16032895809873,2.5,1.8,16,64.4
"SWE",93.2,NA,NA,81.95,7.5,56,43,NA,NA,"Sweden","Europe & Central Asia","High income",0.6,29.8,1.5868940949440051,54664.04507774145,0.79535710811615,2.5,5,5.27216482162475,100,99.7388798657575,100,14.1126987424781,NA,0.30977,60.6063,15.8150454,15.4291687,NA,85.98139697606315,0.9444999999999999,70.3,1.6886605421702068,88.495,8.570451536116192,2.5,1.4,9,64.9
"NLD",93.1,NA,NA,81.15,6.5,60,54,NA,NA,"Netherlands","Europe & Central Asia","High income",0.1,25.7,1.60221529006958,51541.585698492694,0.789915025234222,2.5,4,4.4913740158081,100,99.9678911890245,100,10.59434850187515,NA,0.0424,167.8474,26.8632526,22.4687176,NA,79.42118915202445,0.94,66.9,1.11002512772878,82.465,8.228636872252132,2.5,1.4,11,64.7
"SVN",92.9,NA,NA,81.55000000000001,6,NA,NA,NA,NA,"Slovenia","Europe & Central Asia","High income",0,24.3,1.053914785385135,25492.9023599418,0.774986982345581,2.5,5,7.21811628341674,96.875,98.2743209096652,100,19.76048404324515,NA,0.26991,18.2453,2.324218,40.4387856,NA,81.00665366055512,0.9155,62.4,1.652416507403056,69.565,7.421762795085357,2.5,0.9,24,67.8
"CAN",92.6,NA,NA,76.2,14.5,72,61,NA,NA,"Canada","North America","High income",0.2,31.7,1.54171049594879,44847.94611888715,0.797520101070404,2.5,11,4.30185747146606,100,99.0397292852425,100,9.01547651322254,NA,0.13133,756.8101,9.0630465,12.7079391,NA,78.49677968208262,0.9335,61.1,0.5934140880902609,82.63499999999999,8.063151323710132,2.5,1.2,32,69.8
"USA",92.3,NA,NA,70.9,22.5,63.5,68,NA,NA,"United States","North America","High income",1.2,41.3,1.236348271369935,65108.64790990505,0.701764345169067,2.5,21,9.69157028198242,91.25,97.468388745246,100,10.5447977298082,NA,0.04835,6009.5848,19.0481796,13.0182571,NA,75.91439705245736,0.9205000000000001,57.2,1.62982181708018,71.97999999999999,8.239912990480962,2.5,0.7,69,75.9
"NOR",92.2,NA,NA,81.05,7,58,NA,NA,NA,"Norway","Europe & Central Asia","High income",0.2,27.7,1.870827794075015,79173.4792038077,0.771051168441772,2.5,2,4.29407835006713,96.875,98.8231103374865,100,5.498124259255455,NA,0.09139,69.935,9.8145514,30.5175972,NA,82.00448914565825,0.96,69.9,0.6246391137441,93.915,8.492561123778597,2.5,1.2,7,60.2
"ITA",92,NA,NA,66.85,36,49,57,NA,NA,"Italy","Europe & Central Asia","High income",0.8,34.8,0.5298410952091215,33964.2156718889,0.727819681167603,2.5,5,5.49675559997558,97.5,92.7105575597704,100,15.3461756823548,NA,0.59093,394.6564,10.611516,21.5763645,NA,78.78683607079195,0.892,60.3,1.3111077149709065,70.10499999999999,6.6811082908721,2.5,1.8,17,51.9
"PRT",92,NA,NA,68.5,30,37,42,NA,NA,"Portugal","Europe & Central Asia","High income",0.2,34.6,0.9943417906761179,22167.64500357685,0.768949568271637,2.5,12,7.97772073745727,100,95.1567339921988,100,12.16590608076655,NA,0.2291,59.682,16.9033108,22.9131279,NA,80.01748717850778,0.8645,61.9,0.578903873761495,85.835,6.332620251965729,2.5,3.9,40,54.7
"DEU",92,NA,NA,78.05,12.5,57,58,NA,NA,"Germany","Europe & Central Asia","High income",0.2,32.4,1.237358152866365,44258.603677219755,0.751162469387054,2.5,4,15.439902305603,100,99.9164119020981,100,18.4063080304211,NA,0.24309,784.0046,45.4581184,37.5871277,NA,83.3584465113318,0.943,74.5,2.0537119706471763,81.975,7.626747621095106,2.5,1.4,13,65.5
"ESP",91.5,NA,NA,72,20.5,58,56,NA,NA,"Spain","Europe & Central Asia","High income",0.6,33.9,0.8361479640007015,28369.10534488675,0.728255033493042,2.5,3,7.30008029937744,100,99.5671426373018,100,10.935874030467499,NA,0.134,328.6332,12.7854223,28.1166744,NA,80.42509148841357,0.902,64,0.7183017333348592,76.03999999999999,6.863352184717901,2.5,1.8,26,60.9
"EST",91.4,NA,NA,74.55000000000001,18,34,67,NA,NA,"Estonia","Europe & Central Asia","High income",0.3,31.8,1.30305105447769,20602.0370804872,0.77720320224762,2.5,5,NA,97.5,97.0193826204319,100,12.0345991743752,NA,0.18789,13.8093,18.7789497,21.4095879,NA,81.68334647313472,0.891,75.7,0.97743026415507,87.07,7.202513225494309,2.5,0.7,37,55.5
"CZE",90.8,NA,NA,69.05,30,38,45,NA,NA,"Czechia","Europe & Central Asia","High income",0.1,26.2,1.103715121746065,20436.502222610397,NA,2.5,3,14.2066078186035,93.75,97.8834116268806,100,19.7060664157193,NA,0.14984,125.029,NA,22.1680202,NA,81.87455223312226,0.8905000000000001,65.5,1.7661703824996948,82.06,7.280098844843278,2.5,2.3,28,52.8
"FRA",90.8,NA,NA,65.3,40.75,68.5,66,NA,NA,"France","Europe & Central Asia","High income",0.1,31.5,1.1549192070960999,38999.3537831274,0.762737214565277,2.5,8,6.63674163818359,100,99.7041454123987,100,9.63781941100066,NA,0.36064,429.9974,49.8158798,28.3997669,NA,82.04834271072065,0.9005000000000001,67,1.3108152945836384,78.625,7.2056325236929935,2.5,1.6,20,61.9
"AUT",90.5,NA,NA,64.8,42.5,55,NA,NA,NA,"Austria","Europe & Central Asia","High income",0.5,30.7,1.3958021402359,46794.9633573501,0.746739745140076,2.5,5,14.969030380249,96.875,98.8963233865813,100,16.011386495447802,NA,0.21789,76.6518,NA,29.5004673,NA,82.28018933425642,0.9145000000000001,68.9,1.717556118965149,77.02,7.325437200889651,2.5,1.6,22,56.9
"JPN",90.5,NA,NA,68.7,31,63,NA,NA,NA,"Japan","East Asia & Pacific","High income",0.7,32.9,1.625340223312375,36596.48469445925,0.804714262485504,3.4,4,3.59502744674682,78.75,98.6585502009944,100,19.2274179079491,NA,0.05283,1182.3124,13.8917103,29.749218,NA,79.41412774235567,0.924,61.4,2.483616908391317,64.16,5.669135416904191,3.2,0.9,2,60.5
"GEO",89.8,87.7777666666667,10,69.1,29.75,33,40,NA,NA,"Georgia","Europe & Central Asia","Upper middle income",4.3,33.5,0.7207144796848299,5958.462547623515,0.568925797939301,4,28,13.5263748168945,88.125,69.1418510304816,100,9.039305326260067,7.07908,0.05233,18.0153,0.6677558,11.1115513,21.758590478412053,75.01713789152024,0.802,47.3,-0.17516200989484787,60.495,NA,2.9,9.7,90,52.6
"CRI",89.7,91.1111,4.5,57.45,67,25.5,34,NA,NA,"Costa Rica","Latin America & Caribbean ","Upper middle income",0.9,46.95,0.15639957226812845,14002.50018714795,0.628635048866272,2.5,22,34.0240669250488,91.875,80.5075784878385,100,13.849424342594151,3.54573,0.13578,16.8614,28.9516144,26.5901375,11.677531857695929,73.55689325821238,0.8125,55.5,0.11214209472139676,83.06,5.258390929128558,3,2.9,30,40.8
"CHE",89.7,NA,NA,67.45,35.75,47,NA,NA,NA,"Switzerland","Europe & Central Asia","High income",0,33.7,2.09218096733093,89799.48501065845,0.756115138530731,2.5,7,NA,88.125,96.7000018583182,100,18.2557171879893,NA,0.34084,45.5638,NA,12.1402102,NA,80.53738906687673,0.959,67.8,2.2284770806630454,83.56,8.42437758464399,2.5,0.6,10,58.8
"SVK",89.5,NA,NA,76.1,14,40,51,NA,NA,"Slovak Republic","Europe & Central Asia","High income",0.1,24.1,0.3038234859704975,19099.22203679115,0.664987325668335,3.6,5,22.1248226165771,86.25,99.1847298839003,100,19.034301052384798,NA,0.27283,45.4727,NA,37.5865822,NA,79.12032611806087,0.8525,65.1,1.2990823189417522,80.795,6.637526230601206,2.8,1.8,45,54.4
"AUS",89.4,NA,NA,65.5,38.5,68.5,55,NA,NA,"Australia","East Asia & Pacific","High income",0.5,34.3,1.5591561794281,61296.863304135346,0.770239531993866,2.5,3,9.0636396408081,96.875,NA,100,5.368748304247715,NA,0.55392,570.6027,44.3366356,20.3629208,NA,75.9041185128597,0.949,63.1,-0.49314288298288983,76.005,8.079608001516057,2.5,3.4,21,71.1
"HUN",89.4,NA,NA,64.5,44,23,NA,NA,NA,"Hungary","Europe & Central Asia","High income",0.4,29.2,0.453314408659935,16312.9445220198,0.683087289333344,2.5,15,9.15569114685058,93.75,100,100,17.12400587988695,7.2,0.20669,66.2076,NA,22.6009045,NA,79.39344533854626,0.8474999999999999,59.8,1.3977889617284138,61.379999999999995,6.179156752996523,2.5,3,46,54.4
"GRC",89.3,NA,NA,59.55,59,36,37,NA,NA,"Greece","Europe & Central Asia","High income",0.6,32.9,0.2974853441119195,20867.34351235685,0.690006494522095,2.5,8,NA,100,98.879641286099,100,8.942565804876189,NA,1.08306,76.0007,4.5178628,35.2163315,NA,78.3688344601477,0.8865000000000001,67.3,0.21091444293657938,55.36,5.064537181804398,2.5,1.5,41,51.5
"IRL",89.3,NA,NA,74.25,17.75,41,46,NA,NA,"Ireland","Europe & Central Asia","High income",0.1,30.1,1.569857895374295,95662.6209780552,0.792599022388458,2.5,5,2.3305127620697,100,95.9914050398065,100,33.29242248304745,8.5,0.71175,62.3581,2.3319521,14.4344702,NA,80.14793834988541,0.944,65.8,1.571003834406535,89.10499999999999,7.257451188290553,2.5,2.4,23,55.3
"MEX",89,86.66666666666666,16,69.5,28.75,63.5,51,NA,NA,"Mexico","Latin America & Caribbean ","Upper middle income",1.2,43.5,-0.240042485296726,10126.574524841,0.612949848175049,3.1,59,47.634178161621,88.75,43.0378794213272,100,20.7174693386332,17.6,1.5861,819.8367,21.5555801,14.5979404,8.37776461332698,69.70547768016297,0.757,44.2,1.024737536907196,47.775,4.249950624706364,2.5,3.6,71,57
"LTU",88.8,NA,NA,72.25,20.5,NA,37,NA,NA,"Lithuania","Europe & Central Asia","High income",0.3,36.7,1.0220413804054274,18785.03340168905,0.70604795217514,2.5,9,3.27572441101074,93.75,94.9814964714414,100,15.46794312944115,NA,0.65355,20.8469,25.5924759,17.0758858,NA,76.80511203208556,0.877,64.1,0.8829917112986246,85.465,6.596338630180303,2.5,2.1,61,59.5
"LUX",88.8,NA,NA,65.5,39.75,NA,NA,NA,NA,"Luxembourg","Europe & Central Asia","High income",0.1,32.7,1.843220591545105,108028.84088999251,0.686146140098572,2.5,6,NA,100,99.5340819574653,100,3.679603234702925,NA,0.00333,8.4756,NA,55.8024483,NA,77.64534955197988,0.927,75.1,NA,80.89500000000001,8.204175047406853,2.5,0.6,12,48.4
"KOR",88.7,NA,NA,68.30000000000001,30.5,72,64,NA,NA,"Korea, Rep.","East Asia & Pacific","High income",0,32.9,1.376927316188815,33905.7000274906,0.798776268959045,2.5,8,3.23008060455322,88.125,99.2801236024823,100,24.971252863077552,NA,0.085319999999999993,725.6826,2.455245,16.9653454,NA,78.06195027472528,0.9235,50.6,2.053975264231364,71.47,6.079896110048965,2.5,0.8,3,65.4
"NZL",88.6,NA,NA,68.05000000000001,32,64.5,66,NA,NA,"New Zealand","East Asia & Pacific","High income",NA,NA,1.4351192116737401,42043.8816081591,0.775932431221008,2.5,7,10.8613500595092,97.5,100,100,8.81116112012761,NA,0.00676,82.7195,30.4215393,33.3954124,NA,78.43333065471889,0.9365000000000001,57.3,0.20745121439297995,83.885,7.674513246753308,2.5,3.3,25,62.5
"LVA",88.5,NA,NA,66.80000000000001,38.5,27,49,NA,NA,"Latvia","Europe & Central Asia","High income",0.4,34.3,0.6940493285655975,16555.2754546978,0.70658141374588,2.5,18,8.4379014968872,100,97.1112722593105,100,11.54038780110675,NA,0.58814,11.1078,16.0392818,18.1834526,NA,80.6816428762414,0.867,60.2,0.6072174906730652,81.22,6.313278600890371,2.5,1,59,61.9
