"iso3c","SPI.INDEX","SCI","SCI_rank","ODIN_score","ODIN_rank","odb","gdb","iiag_overall","iiag_stats","country","region","income","SI.POV.DDAY","SI.POV.GINI","GE.EST","NY.GDP.PCAP.KD","HD.HCI.OVRL","SN.ITK.DEFC.ZS","SH.STA.MMRT","SE.LPV.PRIM","SG.LAW.INDX","SH.H2O.SMDW.ZS","EG.ELC.ACCS.ZS","NV.IND.MANF.ZS","EN.POP.SLUM.UR.ZS","subsidies","EN.GHG.ALL.MT.CE.AR5","ER.MRN.PTMR.ZS","ER.LND.PTLD.ZS","DT.TDS.DECT.EX.ZS","sdg_index_score","hdi_value","env_perform_index","eci_value","press_free_score","better_life_index","undernourish","severe_food_insecurity"
"FIN",91.3,NA,NA,82.96,4.2,57.095,55,NA,NA,"Finland","Europe & Central Asia","High income",0,27.58,1.857061767578124,45670.4732322554,0.7996976137161252,2.5,8.2,4.78112697601318,97.5,99.63960675413097,100,14.96784458766276,NA,0.57659,57.81904,12.013889646,13.341222158,NA,86.45765266057472,0.9374,76.4,1.5259992082913716,90.708,8.190826399726488,2.5,2.3
"POL",91.2,79.77779333333332,31.5,84.26,3.2,36.64666666666667,NA,NA,NA,"Poland","Europe & Central Asia","High income",0.1,28.56,0.3543292164802552,16244.46363004726,0.7545153141021725,2.5,2,5.55067777633667,93.75,89.33806839002088,100,16.91633027508898,NA,0.28857,394.4809,22.572461822,39.591139282,NA,81.0485681528031,0.877,58.56666666666667,1.0571480592091878,69.384,6.56633930228965,2.5,0.8
"DNK",90.9,NA,NA,85.3,2.8,68.6325,58,NA,NA,"Denmark","Europe & Central Asia","High income",0.22,28.02,1.935770630836486,58879.55032755882,0.7582422256469725,2.5,5,5.13658905029296,100,99.91882799545255,100,13.554612813923,NA,0.39504,45.870560000000005,18.241720548,17.023377946,NA,85.3909231092437,0.9453999999999999,76.03333333333333,1.0444592237472534,90.636,8.16032895809873,2.5,1.4333333333333333
"SWE",90.8,NA,NA,80.8,7.6,73.67750000000001,43,NA,NA,"Sweden","Europe & Central Asia","High income",0.5,29.52,1.6256165266037,53731.81721313038,0.7967876791954042,2.5,5,5.27216482162475,100,99.73077818922012,100,13.49506785531178,NA,0.30977,61.5986,15.627671706000001,14.842564024,NA,86.06604389801376,0.9438,73.9,1.7218718926111858,90.438,8.570451536116192,2.5,1.3
"NLD",90.5,NA,NA,82.32000000000001,5,68.645,54,NA,NA,"Netherlands","Europe & Central Asia","High income",0.08,26.46,1.700387549400328,49840.922339887096,0.7925397396087643,2.5,4,4.4913740158081,98.5,99.96931093825158,100,10.56968665953068,NA,0.0424,176.98842,26.862105866,22.47478812,NA,79.22486288515407,0.9398,68.26666666666667,1.11680402358373,87.334,8.228636872252132,2.5,1.4
"SVN",90.5,NA,NA,80.52,5.8,NA,NA,NA,NA,"Slovenia","Europe & Central Asia","High income",0,24.26,1.0816189289093021,24480.00790922514,0.7777272462844849,2.5,4.6,7.21811628341674,96.25,98.20058975770844,100,20.11369111466794,NA,0.26991,18.53536,21.855155984,43.033026632,NA,80.80449709542907,0.9164,67.23333333333333,1.6484188834826152,74.21600000000001,7.421762795085357,2.5,0.6666666666666666
"NOR",90.4,NA,NA,79.28,8.4,66.2625,NA,NA,NA,"Norway","Europe & Central Asia","High income",0.2,27.7,1.850511837005616,77631.83261095054,0.7705479025840756,2.5,2,4.29407835006713,96.875,98.88825210846404,100,5.89510410201484,NA,0.09139,70.38736,6.389096147399999,25.076946854,NA,82.05881881366182,0.9603999999999999,68.96666666666667,0.6809476613998413,93.09,8.492561123778597,2.5,1.0666666666666667
"ITA",89.9,NA,NA,65.76,34,49.532,57,NA,NA,"Italy","Europe & Central Asia","High income",0.8400000000000001,34.839999999999996,0.439325487613678,32369.27469417344,0.7328318238258366,2.5,5,5.49675559997558,97.5,92.86463732795322,100,15.06763805635682,NA,0.59093,390.9484,9.8945671364,21.524509736,NA,78.48296447988287,0.8924,63,1.296977202097575,73.63,6.6811082908721,2.5,1.6333333333333333
"ESP",89.5,NA,NA,70.82000000000001,20.8,57.6075,56,NA,NA,"Spain","Europe & Central Asia","High income",0.7,34.18,0.8805860280990601,27364.94210596132,0.729835307598114,2.5,3,7.30008029937744,99,99.56374752287526,100,10.93555556241226,NA,0.134,317.36794,12.755083796000001,28.11583921,NA,80.09763803475937,0.902,64.96666666666667,0.6886555552482605,77.498,6.863352184717901,2.5,1.8666666666666667
"DEU",89.4,NA,NA,78.2,10.4,62.286,58,NA,NA,"Germany","Europe & Central Asia","High income",0.2,32.28,1.314572644233704,43797.25158736562,0.7536845326423642,2.5,4,15.439902305603,100,99.91417224562156,100,18.70310795304864,NA,0.24309,784.41446,45.429148626,37.561000054,NA,83.07661430799592,0.9446,71.36666666666667,2.067535479863485,84.39,7.626747621095106,2.5,1.0666666666666667
